code_rer_A;annee;mois;jour;jour_semaine;numero_semaine;est_semaine;est_weekend;mission;heure_depart_prevue;nom_gare_depart;id_gare_depart;statut;nombre_arrets;nombre_arrets_supprimes;retard_max_en_secondes;retard_moyen_en_secondes;retard_median_en_secondes;retard_en_minutes_par_gare;decompte_retards_en_minutes
1;2019;7;1;1;27;1;0;NAGE;05h11;Cergy le Haut;uic87382655;normal;9;0;0;0;0;0 - 0 - 0 - 0 - 0 - 0 - 0 - 0 - 0;00:09
2;2019;7;1;1;27;1;0;NAGE;05h41;Cergy le Haut;uic87382655;normal;9;0;60;13;0;0 - 0 - 0 - 0 - 0 - 1 - 1 - 0 - 0;0: 7 - 1: 2
3;2019;7;1;1;27;1;0;NAGE;05h56;Cergy le Haut;uic87382655;normal;9;0;60;6;0;0 - 0 - 0 - 0 - 0 - 1 - 0 - 0 - 0;0: 8 - 1: 1
4;2019;7;1;1;27;1;0;NAGE;06h11;Cergy le Haut;uic87382655;normal;9;0;60;20;0;0 - 0 - 0 - 0 - 1 - 1 - 1 - 0 - 0;0: 6 - 1: 3
5;2019;7;1;1;27;1;0;NAGE;06h26;Cergy le Haut;uic87382655;normal;9;0;0;0;0;0 - 0 - 0 - 0 - 0 - 0 - 0 - 0 - 0;00:09
6;2019;7;1;1;27;1;0;NAGE;06h41;Cergy le Haut;uic87382655;normal;9;0;60;6;0;0 - 0 - 0 - 0 - 0 - 1 - 0 - 0 - 0;0: 8 - 1: 1
7;2019;7;1;1;27;1;0;NAGE;06h51;Cergy le Haut;uic87382655;normal;9;0;180;53;0;0 - 0 - 0 - 0 - 0 - 3 - 2 - 1 - 2;0: 5 - 1: 1 - 2: 2 - 3: 1
8;2019;7;1;1;27;1;0;NAGE;07h01;Cergy le Haut;uic87382655;normal;9;0;60;6;0;1 - 0 - 0 - 0 - 0 - 0 - 0 - 0 - 0;0: 8 - 1: 1
9;2019;7;1;1;27;1;0;NAGE;07h13;Cergy le Haut;uic87382655;normal;9;0;120;26;0;2 - 1 - 0 - 0 - 0 - 1 - 0 - 0 - 0;0: 6 - 1: 2 - 2: 1
10;2019;7;1;1;27;1;0;NAGE;07h25;Cergy le Haut;uic87382655;normal;9;0;120;40;0;0 - 0 - 0 - 0 - 0 - 2 - 2 - 1 - 1;0: 5 - 1: 2 - 2: 2
11;2019;7;1;1;27;1;0;NAGE;07h36;Cergy le Haut;uic87382655;normal;9;0;60;6;0;0 - 0 - 0 - 0 - 0 - 1 - 0 - 0 - 0;0: 8 - 1: 1
12;2019;7;1;1;27;1;0;NAGE;07h48;Cergy le Haut;uic87382655;normal;9;0;0;0;0;0 - 0 - 0 - 0 - 0 - 0 - 0 - 0 - 0;00:09
13;2019;7;1;1;27;1;0;NAGE;08h00;Cergy le Haut;uic87382655;normal;9;0;0;0;0;0 - 0 - 0 - 0 - 0 - 0 - 0 - 0 - 0;00:09
14;2019;7;1;1;27;1;0;NAGE;08h11;Cergy le Haut;uic87382655;normal;9;0;0;0;0;0 - 0 - 0 - 0 - 0 - 0 - 0 - 0 - 0;00:09
15;2019;7;1;1;27;1;0;NAGE;08h23;Cergy le Haut;uic87382655;normal;9;0;60;6;0;1 - 0 - 0 - 0 - 0 - 0 - 0 - 0 - 0;0: 8 - 1: 1
16;2019;7;1;1;27;1;0;NAGE;08h35;Cergy le Haut;uic87382655;normal;9;0;0;0;0;0 - 0 - 0 - 0 - 0 - 0 - 0 - 0 - 0;00:09
